Manufactuer,Discription,Capacaty,RPM,Interface,Cache,Class
Toshiba,"TOSHIBA DT01ACA200 2TB 64MB Cache SATA 3 (6.0 Gb/S) 3.5"" Internal Hard Drive Bare Drive TOSHIBA DT01ACA200 2TB 64MB Cache SATA 3 (6.0 Gb/S) 3.5"" Internal Hard Drive Bare Drive",2048,,SATA 6.0Gb/s,64,
Western Digital,"WD Re WD1003FBYZ 1TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Enterprise Internal Hard Drive Bare Drive WD Re WD1003FBYZ 1TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Enterprise Internal Hard Drive Bare Drive",1024,7200,SATA 6.0Gb/s,64,RE
Western Digital,"Western Digital Blue WD2500AAKX 250GB 7200 RPM 16MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive Western Digital Blue WD2500AAKX 250GB 7200 RPM 16MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive",250,7200,SATA 6.0Gb/s,16,Blue
Western Digital,"Western Digital WD VelociRaptor WD1000DHTZ 1TB 10000 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive Western Digital WD VelociRaptor WD1000DHTZ 1TB 10000 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive",1024,10000,SATA 6.0Gb/s,64,VelociRaptor
Western Digital,"Western Digital AV-GP WD10EURX 1TB IntelliPower 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive Western Digital AV-GP WD10EURX 1TB IntelliPower 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive",1024,IntelliPower,SATA 6.0Gb/s,64,AV-GP
Western Digital,"Western Digital Red NAS Hard Drive WD20EFRX 2TB IntelliPower 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Western Digital Red NAS Hard Drive WD20EFRX 2TB IntelliPower 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive",2048,IntelliPower,SATA 6.0Gb/s,64,Red
Toshiba,"TOSHIBA PH3300U-1I72 3TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Retail Kit TOSHIBA PH3300U-1I72 3TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Retail Kit",3000,7200,SATA 6.0Gb/s,64,
Seagate,"Seagate Hybrid Drive ST1000DX001 1TB MLC/8GB 64MB Cache SATA 6.0Gb/s NCQ 3.5"" Desktop SSHD Seagate Hybrid Drive ST1000DX001 1TB MLC/8GB 64MB Cache SATA 6.0Gb/s NCQ 3.5"" Desktop SSHD",1024,,SATA 6.0Gb/s,64,Hybrid Drive
Western Digital,"WD BLACK SERIES WD4003FZEX 4TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive WD BLACK SERIES WD4003FZEX 4TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive",4000,7200,SATA 6.0Gb/s,64,Black
Seagate,"Seagate Barracuda STBD2000101 2TB 7200 RPM SATA 6.0Gb/s 3.5"" Internal Hard Drive -Retail kit Seagate Barracuda STBD2000101 2TB 7200 RPM SATA 6.0Gb/s 3.5"" Internal Hard Drive -Retail kit",2048,7200,SATA 6.0Gb/s,,Barracuda
Western Digital,"Western Digital WD Green WD30EZRX 3TB IntelliPower 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive - OEM Western Digital WD Green WD30EZRX 3TB IntelliPower 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive - OEM",3000,IntelliPower,SATA 6.0Gb/s,64,Green
Seagate,"Seagate ST310005N1A1AS-RK 1TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Retail Kit Seagate ST310005N1A1AS-RK 1TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Retail Kit",1024,7200,SATA 6.0Gb/s,64,ST
Western Digital,"Western Digital RE WD4000FYYZ 4TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Enterprise Internal Hard Drive Bare Drive Western Digital RE WD4000FYYZ 4TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Enterprise Internal Hard Drive Bare Drive",4000,7200,SATA 6.0Gb/s,64,RE
Seagate,Seagate NAS HDD ST2000VN000 2TB 64MB Cache SATA 6.0Gb/s Internal Hard Drive Seagate NAS HDD ST2000VN000 2TB 64MB Cache SATA 6.0Gb/s Internal Hard Drive,2048,,SATA 6.0Gb/s,64,NAS
Western Digital,"Western Digital RE WD3000FYYZ 3TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Enterprise Internal Hard Drive Bare Drive Western Digital RE WD3000FYYZ 3TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Enterprise Internal Hard Drive Bare Drive",3000,7200,SATA 6.0Gb/s,64,RE
Western Digital,"Western Digital RE WD1001FYYG 1TB 7200 RPM 32MB Cache SAS 6Gb/s 3.5"" Enterprise Internal Hard Drive Bare Drive Western Digital RE WD1001FYYG 1TB 7200 RPM 32MB Cache SAS 6Gb/s 3.5"" Enterprise Internal Hard Drive Bare Drive",1024,7200,SAS 6.0Gb/s,32,RE
Seagate,"Seagate Barracuda ST250DM000 250GB 7200 RPM 16MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive Seagate Barracuda ST250DM000 250GB 7200 RPM 16MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive",250,7200,SATA 6.0Gb/s,16,Barracuda
Seagate,"Seagate SV35.6 Series ST2000VX000 2TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Surveillance Hard Drive Bare Drive Seagate SV35.6 Series ST2000VX000 2TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Surveillance Hard Drive Bare Drive",2048,7200,SATA 6.0Gb/s,64,Surveillance
Seagate,"Seagate SV35.6 Series ST1000VX000 1TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Surveillance Hard Drive Bare Drive Seagate SV35.6 Series ST1000VX000 1TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Surveillance Hard Drive Bare Drive",1024,7200,SATA 6.0Gb/s,64,Surveillance
Seagate,"Seagate Video ST2000VM003 2 TB 3.5"" SATA 3Gb/s Internal Hard Drive Seagate Video ST2000VM003 2 TB 3.5"" SATA 3Gb/s Internal Hard Drive",2048,,SATA 3.0Gb/s,,Video
Seagate,"Seagate Cheetah 15K.7 ST3300657SS 300GB 15000 RPM SAS 6Gb/s 3.5"" Internal Hard Drive Seagate Cheetah 15K.7 ST3300657SS 300GB 15000 RPM SAS 6Gb/s 3.5"" Internal Hard Drive",300,15000,SAS 6.0Gb/s,,Cheetah
Seagate,"Seagate Barracuda STBD3000100 3TB 7200 RPM SATA 6.0Gb/s 3.5"" Internal Hard Drive Kit -Retail kit Seagate Barracuda STBD3000100 3TB 7200 RPM SATA 6.0Gb/s 3.5"" Internal Hard Drive Kit -Retail kit",3000,7200,SATA 6.0Gb/s,,Barracuda
Toshiba,"TOSHIBA PH3200U-1I72 2TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Retail Kit TOSHIBA PH3200U-1I72 2TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Retail Kit",2048,7200,SATA 6.0Gb/s,64,
Western Digital,"Western Digital WD VelociRaptor WD2500HHTZ 250GB 10000 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive Western Digital WD VelociRaptor WD2500HHTZ 250GB 10000 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive",250,10000,SATA 6.0Gb/s,64,VelociRaptor
Western Digital,"WD Red WD40EFRX 4TB IntelliPower 64MB Cache SATA 6.0Gb/s 3.5"" NAS Internal Hard Drive - Bulk WD Red WD40EFRX 4TB IntelliPower 64MB Cache SATA 6.0Gb/s 3.5"" NAS Internal Hard Drive - Bulk",4000,IntelliPower,SATA 6.0Gb/s,64,Red
Western Digital,"WD Red WD60EFRX 6TB IntelliPower 64MB Cache SATA 6.0Gb/s 3.5"" NAS Hard Drive Bare Drive WD Red WD60EFRX 6TB IntelliPower 64MB Cache SATA 6.0Gb/s 3.5"" NAS Hard Drive Bare Drive",6000,IntelliPower,SATA 6.0Gb/s,64,Red
Western Digital,"WD Purple WD20PURX 2TB SATA 6.0Gb/s 3.5"" Hard Drive WD Purple WD20PURX 2TB SATA 6.0Gb/s 3.5"" Hard Drive",2048,,SATA 6.0Gb/s,,Purple
Seagate,"Seagate Hybrid Drive ST2000DX001 2TB MLC/8GB 64MB Cache SATA 6.0Gb/s NCQ 3.5"" Desktop SSHD Seagate Hybrid Drive ST2000DX001 2TB MLC/8GB 64MB Cache SATA 6.0Gb/s NCQ 3.5"" Desktop SSHD",2048,,SATA 6.0Gb/s,64,Hybrid Drive
Western Digital,"Western Digital Red NAS Hard Drive WD10EFRX 1TB IntelliPower 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Western Digital Red NAS Hard Drive WD10EFRX 1TB IntelliPower 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive",1024,IntelliPower,SATA 6.0Gb/s,64,Red
Western Digital,"WD BLACK SERIES WD3003FZEX 3TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive WD BLACK SERIES WD3003FZEX 3TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive",3000,7200,SATA 6.0Gb/s,64,Black
Western Digital,"Western Digital WD Green WD10EZRX 1TB IntelliPower 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive - OEM Western Digital WD Green WD10EZRX 1TB IntelliPower 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive - OEM",1024,IntelliPower,SATA 6.0Gb/s,64,Green
Western Digital,"WD Purple WD30PURX 3TB SATA 6.0Gb/s 3.5"" Hard Drive WD Purple WD30PURX 3TB SATA 6.0Gb/s 3.5"" Hard Drive",3000,,SATA 6.0Gb/s,,Purple
Western Digital,"WD Purple WD40PURX 4TB SATA 6.0Gb/s 3.5"" Internal Surveillance Hard Drive Bare Drive WD Purple WD40PURX 4TB SATA 6.0Gb/s 3.5"" Internal Surveillance Hard Drive Bare Drive",4000,,SATA 6.0Gb/s,,Purple
Seagate,Seagate NAS HDD ST3000VN000 3TB 64MB Cache SATA 6.0Gb/s Internal Hard Drive Seagate NAS HDD ST3000VN000 3TB 64MB Cache SATA 6.0Gb/s Internal Hard Drive,3000,,SATA 6.0Gb/s,64,NAS
HGST,"HGST Deskstar NAS H3IKNAS600012872SN (0S03839) 6TB 7200 RPM SATA 6.0Gb/s 3.5"" High-Performance Hard Drive for Desktop NAS Systems Retail Kit HGST Deskstar NAS H3IKNAS600012872SN (0S03839) 6TB 7200 RPM SATA 6.0Gb/s 3.5"" High-Performance Hard Drive for Desktop NAS Systems Retail Kit",6000,7200,SATA 6.0Gb/s,,
Western Digital,"Western Digital RE WD2000FYYZ 2TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Enterprise Internal Hard Drive Bare Drive Western Digital RE WD2000FYYZ 2TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Enterprise Internal Hard Drive Bare Drive",2048,7200,SATA 6.0Gb/s,64,RE
Seagate,"Seagate Constellation ES.3 ST1000NM0033 1TB 7200 RPM 128MB Cache SATA 6.0Gb/s 3.5"" Enterprise Internal Hard Drive Bare Drive Seagate Constellation ES.3 ST1000NM0033 1TB 7200 RPM 128MB Cache SATA 6.0Gb/s 3.5"" Enterprise Internal Hard Drive Bare Drive",1024,7200,SATA 6.0Gb/s,128,Constellation
Seagate,Seagate NAS HDD ST4000VN000 4TB 64MB Cache SATA 6.0Gb/s Internal Hard Drive Seagate NAS HDD ST4000VN000 4TB 64MB Cache SATA 6.0Gb/s Internal Hard Drive,4000,,SATA 6.0Gb/s,64,NAS
Seagate,"Seagate Hybrid Drive ST4000DX001 4TB MLC/8GB 64MB Cache SATA 6.0Gb/s NCQ 3.5"" Desktop SSHD Seagate Hybrid Drive ST4000DX001 4TB MLC/8GB 64MB Cache SATA 6.0Gb/s NCQ 3.5"" Desktop SSHD",4000,,SATA 6.0Gb/s,64,Hybrid Drive
Western Digital,"WD Re WD5003ABYZ 500GB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Datacenter Capacity Internal Hard Drive Bare Drive WD Re WD5003ABYZ 500GB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Datacenter Capacity Internal Hard Drive Bare Drive",500,7200,SATA 6.0Gb/s,64,RE
Western Digital,"Western Digital WD VelociRaptor WD5000HHTZ 500GB 10000 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive - OEM Western Digital WD VelociRaptor WD5000HHTZ 500GB 10000 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive - OEM",500,10000,SATA 6.0Gb/s,64,VelociRaptor
Western Digital,"WD Green WD60EZRX 6TB 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive WD Green WD60EZRX 6TB 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive",6000,,SATA 6.0Gb/s,64,Green
HGST,"HGST Deskstar NAS H3IKNAS30003272SN (0S03660) 3TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" High-Performance Hard Drive for Desktop NAS Systems Bare Drive HGST Deskstar NAS H3IKNAS30003272SN (0S03660) 3TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" High-Performance Hard Drive for Desktop NAS Systems Bare Drive",3000,7200,SATA 6.0Gb/s,64,
Seagate,"Seagate Constellation ES.3 ST2000NM0033 2TB 7200 RPM 128MB Cache SATA 6.0Gb/s 3.5"" Enterprise Internal Hard Drive Bare Drive Seagate Constellation ES.3 ST2000NM0033 2TB 7200 RPM 128MB Cache SATA 6.0Gb/s 3.5"" Enterprise Internal Hard Drive Bare Drive",2048,7200,SATA 6.0Gb/s,128,Constellation
Western Digital,"WD Purple WD10PURX 1TB SATA 6.0Gb/s 3.5"" Internal Surveillance Hard Drive Bare Drive WD Purple WD10PURX 1TB SATA 6.0Gb/s 3.5"" Internal Surveillance Hard Drive Bare Drive",1024,,SATA 6.0Gb/s,,Purple
Seagate,"Seagate STBD6000100 6TB 128MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Retail Kit Seagate STBD6000100 6TB 128MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Retail Kit",6000,,SATA 6.0Gb/s,128,ST
Seagate,"Seagate DB35 Series 7200.3 ST3160215ACE 160GB 7200 RPM 2MB Cache IDE Ultra ATA100 / ATA-6 3.5"" (PATA) Internal Desktop Hard Drive -1 Year Warranty Seagate DB35 Series 7200.3 ST3160215ACE 160GB 7200 RPM 2MB Cache IDE Ultra ATA100 / ATA-6 3.5"" (PATA) Internal Desktop Hard Drive -1 Year Warranty",160,7200,IDE Ultra ,2,DB35
Western Digital,"WD Purple WD60PURX 6TB 64MB Cache SATA 6.0Gb/s 3.5"" Internal Surveillance Hard Drive Bare Drive WD Purple WD60PURX 6TB 64MB Cache SATA 6.0Gb/s 3.5"" Internal Surveillance Hard Drive Bare Drive",6000,,SATA 6.0Gb/s,64,Purple
Western Digital,"Western Digital 2TB 7200RPM 64MB Cache SATA 3.0Gb/s 3.5"" (Heavy Duty) Internal Hard Drive - For PC/Mac/NAS/CCTV DVR Western Digital 2TB 7200RPM 64MB Cache SATA 3.0Gb/s 3.5"" (Heavy Duty) Internal Hard Drive - For PC/Mac/NAS/CCTV DVR",2048,7200,SATA 3.0Gb/s,64,
HGST,"Hitachi Ultrastar 7K3000 HUA723020ALA641 2TB 7200RPM 64MB Cache SATA 6.0Gb/s 3.5"" Enterprise Hard Drive -OEM Hitachi Ultrastar 7K3000 HUA723020ALA641 2TB 7200RPM 64MB Cache SATA 6.0Gb/s 3.5"" Enterprise Hard Drive -OEM",2048,7200,SATA 6.0Gb/s,64,
Seagate,"Seagate ST4000VX000 4TB 5900 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Surveillance Hard Drive Seagate ST4000VX000 4TB 5900 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Surveillance Hard Drive",4000,5900,SATA 6.0Gb/s,64,Surveillance
Western Digital,"WD SE WD2000F9YZ 2TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Enterprise Hard Drive WD SE WD2000F9YZ 2TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Enterprise Hard Drive",2048,7200,SATA 6.0Gb/s,64,
Seagate,"Seagate Cheetah 15K.7 ST3600057SS 600GB 15000 RPM 16MB Cache SAS 6Gb/s 3.5"" Internal Enterprise Hard Drive Bare Drive Seagate Cheetah 15K.7 ST3600057SS 600GB 15000 RPM 16MB Cache SAS 6Gb/s 3.5"" Internal Enterprise Hard Drive Bare Drive",600,15000,SAS 6.0Gb/s,16,Cheetah
Seagate,"Seagate Constellation ES.3 ST4000NM0033 4TB 7200 RPM 128MB Cache SATA 6.0Gb/s 3.5"" Enterprise Internal Hard Drive Bare Drive Seagate Constellation ES.3 ST4000NM0033 4TB 7200 RPM 128MB Cache SATA 6.0Gb/s 3.5"" Enterprise Internal Hard Drive Bare Drive",4000,7200,SATA 6.0Gb/s,128,Constellation
HGST,"HITACHI/HGST Ultrastar HUA723020ALA641 2TB 7200RPM 64MB Cache SATA III (6.0GB/S) 3.5"" (Enterprise Self-Encrypting) Hard Drive - w/1 Year Warranty HITACHI/HGST Ultrastar HUA723020ALA641 2TB 7200RPM 64MB Cache SATA III (6.0GB/S) 3.5"" (Enterprise Self-Encrypting) Hard Drive - w/1 Year Warranty",2048,7200,SATA 6.0Gb/s,64,
Seagate,"Seagate STBD4000400 4TB 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Retail Kit Seagate STBD4000400 4TB 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Retail Kit",4000,,SATA 6.0Gb/s,64,ST
Western Digital,"Western Digital Blue WD7500AZEX 750GB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive Western Digital Blue WD7500AZEX 750GB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive",750,7200,SATA 6.0Gb/s,64,Blue
Seagate,"Seagate Constellation ES ST32000644NS 2TB 7200 RPM 64MB Cache SATA 3.0Gb/s 3.5"" Enterprise Internal Hard Drive Bare Drive Seagate Constellation ES ST32000644NS 2TB 7200 RPM 64MB Cache SATA 3.0Gb/s 3.5"" Enterprise Internal Hard Drive Bare Drive",2048,7200,SATA 3.0Gb/s,64,Constellation
Seagate,Seagate Surveillance HDD ST1000VX001 1TB 64MB Cache SATA 6.0Gb/s Internal Hard Drive Seagate Surveillance HDD ST1000VX001 1TB 64MB Cache SATA 6.0Gb/s Internal Hard Drive,1024,,SATA 6.0Gb/s,64,Surveillance
Western Digital,"Western Digital Blue WD1600AAJS 160GB 7200 RPM 8MB Cache SATA 3.0Gb/s 3.5"" Internal Hard Drive Bare Drive Western Digital Blue WD1600AAJS 160GB 7200 RPM 8MB Cache SATA 3.0Gb/s 3.5"" Internal Hard Drive Bare Drive",160,7200,SATA 3.0Gb/s,8,Blue
Seagate,Seagate NAS HDD ST2000VN001 2TB 64MB Cache SATA 6.0Gb/s Internal Hard Drive + Rescue Data Recovery Services Seagate NAS HDD ST2000VN001 2TB 64MB Cache SATA 6.0Gb/s Internal Hard Drive + Rescue Data Recovery Services,2048,,SATA 6.0Gb/s,64,NAS
Western Digital,"WD Red WD50EFRX 5TB IntelliPower 64MB Cache SATA 6.0Gb/s 3.5"" NAS Hard Drive Bare Drive WD Red WD50EFRX 5TB IntelliPower 64MB Cache SATA 6.0Gb/s 3.5"" NAS Hard Drive Bare Drive",5000,IntelliPower,SATA 6.0Gb/s,64,Red
Seagate,"Seagate 2TB 64MB Cache 7200RPM SATA2 (3.0Gbps) 3.5"" (Heavy Duty) Internal Hard Drive NAS RAID CCTV DVR PC/Mac - New OEM w/ 1 Year Warranty Seagate 2TB 64MB Cache 7200RPM SATA2 (3.0Gbps) 3.5"" (Heavy Duty) Internal Hard Drive NAS RAID CCTV DVR PC/Mac - New OEM w/ 1 Year Warranty",2048,7200,SAS 3.0Gb/s,64,NAS
Seagate,"Seagate Constellation ES.3 ST4000NM0023 4TB 7200 RPM 128MB Cache SAS 6Gb/s 3.5"" Enterprise Internal Hard Drive Bare Drive Seagate Constellation ES.3 ST4000NM0023 4TB 7200 RPM 128MB Cache SAS 6Gb/s 3.5"" Enterprise Internal Hard Drive Bare Drive",4000,7200,SAS 6.0Gb/s,128,Constellation
Seagate,"Seagate ST6000NM0024 6TB 7200 RPM 128MB Cache SATA 6.0Gb/s 3.5"" Enterprise Hard Drive Bare Drive Seagate ST6000NM0024 6TB 7200 RPM 128MB Cache SATA 6.0Gb/s 3.5"" Enterprise Hard Drive Bare Drive",6000,7200,SATA 6.0Gb/s,128,Enterprise
IBM,"IBM 00W1156 300GB 10000 RPM SAS 6Gb/s 2.5"" Internal Hard Drive IBM 00W1156 300GB 10000 RPM SAS 6Gb/s 2.5"" Internal Hard Drive",300,10000,SAS 6.0Gb/s,,
Hewlett-Packard,"HP Gen8 652753-S21 1TB SAS 6Gb/s 7200prm 3 5"" Hard Drive HP Gen8 652753-S21 1TB SAS 6Gb/s 7200prm 3 5"" Hard Drive",1024,7200,SAS 6.0Gb/s,,
DELL,"Dell A7082063 - 3TB 3.5"" SATA 7.2K 6Gb/s HS Hard Drive Dell A7082063 - 3TB 3.5"" SATA 7.2K 6Gb/s HS Hard Drive",3000,7200,SAS 6.0Gb/s,,
Western Digital,"Western Digital RE2 WD7500AYYS 750GB 7200 RPM 16MB Cache SATA 3.0Gb/s 3.5"" Hard Drive Bare Drive Western Digital RE2 WD7500AYYS 750GB 7200 RPM 16MB Cache SATA 3.0Gb/s 3.5"" Hard Drive Bare Drive",750,7200,SATA 3.0Gb/s,16,RE2
Western Digital,"Western Digital Blue WD2500AAJB 250GB 7200 RPM 8MB Cache IDE Ultra ATA100 / ATA-6 3.5"" Internal Hard Drive Bare Drive Western Digital Blue WD2500AAJB 250GB 7200 RPM 8MB Cache IDE Ultra ATA100 / ATA-6 3.5"" Internal Hard Drive Bare Drive",250,7200,IDE Ultra ,8,Blue
